*Usernames,Job names,Prediction method,Protein length,Time,Status,Error message
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 17:25:42 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 17:34:20 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:04:22 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:06:11 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:08:47 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:09:20 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:10:23 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:14:39 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:20:53 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:27:55 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:28:53 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:47:44 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:49:40 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:49:51 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:50:12 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:51:05 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:52:26 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:53:29 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:55:51 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:56:14 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 18:57:06 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 19:00:18 2019,successful,none
